DataID,Sensor/Actuator Name,Sensor/Actuator Type,Sensor Location,Date of Read,Sensor/Actuator Value
1,temp2,temp2,Hydroponics farm,06/12/2020 11:20,24
2,temp1,temp1,Hydroponics farm,06/12/2020 11:20,39
3,ldr,ldr,Hydroponics farm,06/12/2020 11:20,939
4,heater,heater,Hydroponics farm,06/12/2020 11:20,0
5,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,11
6,pump,pump,Hydroponics farm,06/12/2020 11:20,0
7,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,69
8,temp2,temp2,Hydroponics farm,06/12/2020 11:20,22
9,temp1,temp1,Hydroponics farm,06/12/2020 11:20,31
10,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,29
11,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,52
12,temp2,temp2,Hydroponics farm,06/12/2020 11:20,29
13,temp1,temp1,Hydroponics farm,06/12/2020 11:20,38
14,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,29
15,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,58
16,temp2,temp2,Hydroponics farm,06/12/2020 11:20,30
17,ldr,ldr,Hydroponics farm,06/12/2020 11:20,651
18,temp1,temp1,Hydroponics farm,06/12/2020 11:20,33
19,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,56
20,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,75
21,temp2,temp2,Hydroponics farm,06/12/2020 11:20,28
22,temp1,temp1,Hydroponics farm,06/12/2020 11:20,34
23,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,52
24,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,60
25,temp2,temp2,Hydroponics farm,06/12/2020 11:20,26
26,temp1,temp1,Hydroponics farm,06/12/2020 11:20,37
27,heater,heater,Hydroponics farm,06/12/2020 11:20,1
28,pump,pump,Hydroponics farm,06/12/2020 11:20,0
29,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,58
30,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,79
31,ldr,ldr,Hydroponics farm,06/12/2020 11:20,911
32,temp2,temp2,Hydroponics farm,06/12/2020 11:20,28
33,temp1,temp1,Hydroponics farm,06/12/2020 11:20,31
34,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,30
35,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,47
36,temp2,temp2,Hydroponics farm,06/12/2020 11:20,29
37,temp1,temp1,Hydroponics farm,06/12/2020 11:20,33
38,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,23
39,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,60
40,temp2,temp2,Hydroponics farm,06/12/2020 11:20,22
41,temp1,temp1,Hydroponics farm,06/12/2020 11:20,36
42,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,45
43,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,42
44,ldr,ldr,Hydroponics farm,06/12/2020 11:20,886
45,temp2,temp2,Hydroponics farm,06/12/2020 11:20,20
46,temp1,temp1,Hydroponics farm,06/12/2020 11:20,38
47,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,22
48,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,51
49,heater,heater,Hydroponics farm,06/12/2020 11:20,0
50,temp2,temp2,Hydroponics farm,06/12/2020 11:20,28
51,temp1,temp1,Hydroponics farm,06/12/2020 11:20,31
52,pump,pump,Hydroponics farm,06/12/2020 11:20,1
53,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,39
54,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,55
55,temp2,temp2,Hydroponics farm,06/12/2020 11:20,21
56,temp1,temp1,Hydroponics farm,06/12/2020 11:20,38
57,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,55
58,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,74
59,ldr,ldr,Hydroponics farm,06/12/2020 11:20,744
60,temp2,temp2,Hydroponics farm,06/12/2020 11:20,27
61,temp1,temp1,Hydroponics farm,06/12/2020 11:20,39
62,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,6
63,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,55
64,temp2,temp2,Hydroponics farm,06/12/2020 11:20,30
65,temp1,temp1,Hydroponics farm,06/12/2020 11:20,33
66,humidity1,humidity1,Hydroponics farm,06/12/2020 11:20,57
67,humidity2,humidity2,Hydroponics farm,06/12/2020 11:20,84
